;Artwork_Title;Artist;Year_From;Year_To;Technique;Width_cm;Height_cm;Price EUR
;Brompton Road (from The Overcoat);Sarah Dobai;2014;2015;C type photograph;73.50;63.00;1500
;Mile End (from The Overcoat);Sarah Dobai;2014;;C type photograph;73.50;63.00;3520
;Bond Street I  (from The Overcoat);Sarah Dobai;2012;;C type photograph;96.50;75.00;1950
;New Bond St (from The Overcoat);Sarah Dobai;2013;;C type photograph;96.50;75.00;4400
;Hatton Garden  (from The Overcoat);Sarah Dobai;2015;;C type photograph;73.50;63.00;950
;Costumier  (from The Overcoat);Sarah Dobai;2013;;C type photograph;73.50;63.00;1790
;Ivry Interieur (from The Overcoat);Sarah Dobai;2014;;C type photograph;73.50;63.00;2900
;Two Views I.;Sarah Dobai;2018;2021;C type photograph;68.00;49.50;6500
;Two Views II.;Sarah Dobai;2018;2021;C type photograph;68.00;49.50;6400
;Towpath Seen through Ground Glass;Sarah Dobai;2021;;C type photograph;117.00;93.50;2600
;The Donkey Fields;Sarah Dobai;2021;;;;;9900
;In Plan Sight;Sarah Dobai;;;;;;1200
;In Plan Sight Video;Sarah Dobai;;;;;;7000
